,heights,widths,aspects,channels,file_sizes,mean_brightness,std_brightness
count,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0
mean,1223.0047619047618,1053.02,1.3046995078738035,3.0,282.73840494791665,149.4577702278632,45.00471577951029
std,1118.307225027328,961.9835038887369,1.929490543182198,0.0,455.7683098320546,47.20182826246334,12.55940520226209
min,217.0,201.0,0.05060422960725076,3.0,5.5048828125,26.580371711575253,9.725491728482947
25%,416.0,416.0,1.0,3.0,38.885009765625,116.51784319466144,36.146250432705
50%,479.5,416.0,1.0,3.0,73.59716796875,142.4464494332109,44.19208169257528
75%,1600.0,1600.0,1.0,3.0,231.857666015625,181.10392336821195,53.7743732510927
max,4301.0,4364.0,17.232758620689655,3.0,4088.025390625,251.42951586210927,98.04171012068308
